country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_other,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,nc_reason_others,nc_reason_nopvconcern,nc_reason_religious_cultural,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
BWA,LOBATSE,LOBATSE,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,28,32,60,26,30,56,4,Fail,moderate,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,75,0.07
BWA,LOBATSE DISTRICT COUNCIL,LOBATSE DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,5,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,10,10,20,6,7,13,47,Fail,very poor,3,0,0,0,0,3,41,0,0,0,0,0,0,0,0,3,0,6.38,0,0,0,0,6.38,87.23,2.35
BWA,MABUTSANE,MABUTSANE,BOT-2023-02-01_nOPV,nOPV2,Rnd1,14,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,34,26,60,32,24,56,4,Fail,moderate,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,75,0,0.07
BWA,MABUTSANE,MABUTSANE,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,MAHALAPYE,MAHALAPYE,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,26,34,60,22,31,53,7,Fail,moderate,0,0,3,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,42.86,57.14,0,0,0,0.12
BWA,MAHALAPYE,MAHALAPYE,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,MOGODITSHANE/THAMAGA DISTRICT COUNCIL,MOGODITSHANE/THAMAGA DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,7,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,8,12,20,4,8,12,48,Fail,very poor,0,1,0,0,0,7,40,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,14.58,83.33,2.4
BWA,MOSHUPA,MOSHUPA,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,32,28,60,29,28,57,3,Pass,high,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,33.33,0.05
BWA,MOSHUPA,MOSHUPA,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,25,35,60,21,29,50,10,Fail,poor,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.17
BWA,MOSHUPA DISTRICT COUNCIL,MOSHUPA DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,5,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,5,15,20,5,13,18,42,Fail,very poor,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,97.62,2.1
BWA,NGAMI,NGAMI,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,29,31,60,4,5,9,51,Fail,very poor,0,2,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,96.08,0,0.85
BWA,NGAMI,NGAMI,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,24,36,60,2,2,4,56,Fail,very poor,1,0,0,0,0,29,26,0,0,0,0,0,0,0,0,0,1,1.79,0,0,0,0,51.79,46.43,0.93
BWA,NORTH EAST,NORTH EAST,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,NORTH EAST,NORTH EAST,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,25,35,60,14,31,45,15,Fail,poor,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.25
BWA,OKAVANGO,OKAVANGO,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,OKAVANGO,OKAVANGO,BOT-2023-02-01_nOPV,nOPV2,Rnd2,17,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,32,28,60,31,26,57,3,Pass,high,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.05
BWA,OKAVANGO DISTRICT COUNCIL,OKAVANGO DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,10,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,34,36,70,34,36,70,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,PALAPYE,PALAPYE,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,28,32,60,14,22,36,24,Fail,very poor,0,0,1,0,0,3,20,0,0,0,1,0,0,0,0,0,0,0,0,4.17,0,0,12.5,83.33,0.4
BWA,PALAPYE,PALAPYE,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,33,27,60,20,18,38,22,Fail,very poor,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,63.64,0.37
