country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_other,abs_reason_in_playground,abs_reason_travelled,nc_reason_others,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SSUD,CENTRAL EQUATORIA,TEREKEKA,SSD-79DS-09-2020,nOPV2,Rnd2,20,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,36,24,60,31,21,52,8,Fail,moderate,1,4,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12.5,50,12.5,0,0,25,0,0.13
SSUD,CENTRAL EQUATORIA,YEI,RSSmOPV10C2021,nOPV2,Rnd1,21,2020-12-30T00:00:00Z,2021-01-03,2021-02-28,29,31,60,26,26,52,8,Fail,moderate,0,3,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,50,0,0.13
SSUD,CENTRAL EQUATORIA,YEI,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,16,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,25,25,50,18,18,36,24,Fail,very poor,0,8,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,4.17,0,0,0,62.5,0.48
SSUD,CENTRAL EQUATORIA,YEI,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,CENTRAL EQUATORIA,YEI,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,20,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,28,32,60,24,29,53,7,Fail,moderate,0,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,71.43,28.57,0,0,0,0,0.12
SSUD,CENTRAL EQUATORIA,YEI,SSD-79DS-09-2020,nOPV2,Rnd2,21,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,23,37,60,23,34,57,3,Pass,high,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
SSUD,EASTERN EQUATORIA,BUDI,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,20,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,EASTERN EQUATORIA,IKOTOS,RSSmOPV10C2021,nOPV2,Rnd1,21,2021-02-17T00:00:00Z,2021-02-21,2021-02-23,36,24,60,35,22,57,3,Pass,high,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0.05
SSUD,EASTERN EQUATORIA,IKOTOS,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,31,29,60,30,28,58,2,Pass,high,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
SSUD,EASTERN EQUATORIA,IKOTOS,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,21,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,42,18,60,42,18,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
