country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_in_playground,abs_reason_farm,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_others,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SEN,RM DIOURBEL,BAMBEY,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,25,28,53,7,Fail,moderate,0,2,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,42.86,14.29,0.12
SEN,RM DIOURBEL,BAMBEY,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,31,29,60,30,27,57,3,Pass,high,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0.05
SEN,RM DIOURBEL,DIOURBEL,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,28,32,60,27,31,58,2,Pass,high,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
SEN,RM DIOURBEL,DIOURBEL,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,33,27,60,30,24,54,6,Fail,moderate,0,1,4,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,16.67,66.67,0,0,16.67,0,0.1
SEN,RM DIOURBEL,MBACKE,SEN_VPOn,nOPV2,Rnd1,17,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM DIOURBEL,MBACKE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM DIOURBEL,TOUBA,SEN_VPOn,nOPV2,Rnd1,21,2021-12-19T00:00:00Z,2021-12-23,2021-12-24,33,27,60,25,20,45,15,Fail,poor,3,6,3,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,20,40,20,0,0,13.33,6.67,0.25
SEN,RM DIOURBEL,TOUBA,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,26,34,60,20,17,37,23,Fail,very poor,13,8,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,56.52,34.78,0,0,0,4.35,4.35,0.38
SEN,RM FATICK,DIAKHAO,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,27,33,60,26,32,58,2,Pass,high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
SEN,RM FATICK,DIAKHAO,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,27,33,60,26,33,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
SEN,RM FATICK,DIOFFIOR,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,29,30,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
SEN,RM FATICK,DIOFFIOR,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,30,30,60,29,30,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
SEN,RM FATICK,FATICK,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,25,31,56,4,Fail,moderate,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,25,0,25,0,0,50,0,0.07
SEN,RM FATICK,FATICK,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM FATICK,FOUNDIOUGNE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,24,36,60,24,35,59,1,Pass,high,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0.02
SEN,RM FATICK,FOUNDIOUGNE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,31,29,60,29,28,57,3,Pass,high,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
SEN,RM FATICK,GOSSAS,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
