country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,nc_reason_covid_19,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_nopvconcern,nc_reason_child_sick,nc_reason_religious_cultural,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NAM,KHARAS,KEETMANSHOOP,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,20,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,37,23,60,37,21,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
NAM,KHARAS,LUDERITZ,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KHARAS,LUDERITZ,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,21,39,60,20,37,57,3,Pass,high,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,33.33,0.05
NAM,KHOMAS,WINDHOEK,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KHOMAS,WINDHOEK,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,19,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,28,32,60,25,31,56,4,Fail,moderate,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.07
NAM,KUNENE,KHORIXAS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,40,20,60,35,17,52,8,Fail,moderate,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,12.5,12.5,0.13
NAM,KUNENE,KHORIXAS,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,32,28,60,31,27,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
NAM,KUNENE,OPUWO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,29,31,60,19,23,42,18,Fail,poor,0,15,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,83.33,16.67,0,0,0,0,0.3
NAM,KUNENE,OPUWO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,19,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,21,39,60,15,35,50,10,Fail,poor,0,3,6,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,30,60,0,0,0,10,0.17
NAM,KUNENE,OUTJO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,6,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,28,26,54,6,Fail,moderate,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.1
