country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,abs_reason_market,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NIG,NIAMEY,NIAMEY 4,NIG-2023-11-01_nOPV,nOPV2,Rnd2,21,2024-01-05T00:00:00Z,2024-01-09,2024-01-10,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 4,NIG-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-12T00:00:00Z,2024-07-16,2024-07-17,32,28,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,96.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
NIG,NIAMEY,NIAMEY 4,NIG-2024-06-01_nOPV,nOPV2,Rnd2,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,33,27,60,32,25,57,3,Pass,high,0,0,3,0,0,0,0,100,0,2,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
NIG,NIAMEY,NIAMEY 4,NIG-2024-10-01_nOPV,nOPV2,Rnd1,22,2024-10-25T00:00:00Z,2024-10-29,2024-10-30,32,28,60,26,26,52,8,Fail,moderate,0,8,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.13
NIG,NIAMEY,NIAMEY 4,NIG-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-12-02T00:00:00Z,2024-12-06,2024-12-07,23,37,60,22,36,58,2,Pass,high,0,0,1,1,0,0,0,88.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0.03
NIG,NIAMEY,NIAMEY 4,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,23,2025-05-04T00:00:00Z,2025-05-08,2025-05-09,33,27,60,32,26,58,2,Pass,high,0,1,0,0,0,1,0,71.67,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0.03
NIG,NIAMEY,NIAMEY 4,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-13T00:00:00Z,2025-06-17,2025-06-18,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 4,NIG-2025-10-01_nOPV_sNID,nOPV2,Rnd1,21,2026-01-11T00:00:00Z,2026-01-15,2026-01-16,30,30,60,16,15,31,29,Fail,very poor,2,23,2,0,0,0,2,56.67,0,1,1,0,0,0,0,0,1,0,1,0,6.9,79.31,6.9,0,0,0,6.9,0.48
NIG,NIAMEY,NIAMEY 5,CENBLOCK-nOPV,nOPV2,Rnd1,21,2022-06-06T00:00:00Z,2022-06-10,2022-06-11,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,NIAMEY,NIAMEY 5,CENBLOCK-nOPV,nOPV2,Rnd2,21,2022-07-02T00:00:00Z,2022-07-06,2022-07-07,32,28,60,26,22,48,12,Fail,poor,0,0,2,0,0,0,10,98.33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,83.33,0.2
