country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_market,abs_reason_farm,abs_reason_travelled,abs_reason_in_playground,abs_reason_other,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_too_many_rnd,nc_reason_covid_19,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_others,nc_reason_nopvconcern,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
KEN,GARISSA,HULUGHO,KEN-2023-08-01_nOPV,nOPV2,Rnd1,21,2023-08-24T00:00:00Z,2023-08-28,2023-08-29,25,35,60,25,34,59,1,Pass,high,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.02
KEN,GARISSA,HULUGHO,KEN-2023-08-01_nOPV,nOPV2,Rnd2,21,2023-10-07T00:00:00Z,2023-10-11,2023-10-12,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,HULUGHO,KEN-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-02-14T00:00:00Z,2024-02-18,2024-02-19,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,HULUGHO,KEN-2024-11-01_nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,31,29,60,30,28,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
KEN,GARISSA,HULUGHO,KEN-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-04-11T00:00:00Z,2025-04-15,2025-04-16,29,31,60,27,29,56,4,Fail,moderate,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0.07
KEN,GARISSA,IFO REFUGEE CAMP,KEN-13DS-02-2021,nOPV2,Rnd1,21,2021-05-22T00:00:00Z,2021-05-26,2021-05-27,30,30,60,29,27,56,4,Fail,moderate,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.07
KEN,GARISSA,IFO REFUGEE CAMP,KEN-13DS-02-2021,nOPV2,Rnd2,21,2021-07-17T00:00:00Z,2021-07-21,2021-07-22,29,31,60,26,30,56,4,Fail,moderate,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.07
KEN,GARISSA,IFO REFUGEE CAMP,KEN-2023-08-01_nOPV,nOPV2,Rnd1,21,2023-08-24T00:00:00Z,2023-08-28,2023-08-29,41,19,60,41,19,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IFO REFUGEE CAMP,KEN-2023-08-01_nOPV,nOPV2,Rnd2,21,2023-10-07T00:00:00Z,2023-10-11,2023-10-12,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IFO REFUGEE CAMP,KEN-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-02-14T00:00:00Z,2024-02-18,2024-02-19,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IFO REFUGEE CAMP,KEN-2024-11-01_nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,40,20,60,40,20,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IFO REFUGEE CAMP,KEN-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-04-11T00:00:00Z,2025-04-15,2025-04-16,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IJARA,KEN-13DS-02-2021,nOPV2,Rnd1,21,2021-05-22T00:00:00Z,2021-05-26,2021-05-27,31,29,60,30,28,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
KEN,GARISSA,IJARA,KEN-13DS-02-2021,nOPV2,Rnd2,21,2021-07-17T00:00:00Z,2021-07-21,2021-07-22,25,35,60,25,34,59,1,Pass,high,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.02
KEN,GARISSA,IJARA,KEN-2023-08-01_nOPV,nOPV2,Rnd1,21,2023-08-24T00:00:00Z,2023-08-28,2023-08-29,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IJARA,KEN-2023-08-01_nOPV,nOPV2,Rnd2,21,2023-10-07T00:00:00Z,2023-10-11,2023-10-12,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IJARA,KEN-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-02-14T00:00:00Z,2024-02-18,2024-02-19,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,IJARA,KEN-2024-11-01_nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,32,28,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
KEN,GARISSA,IJARA,KEN-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-04-11T00:00:00Z,2025-04-15,2025-04-16,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,LAGDERA,KEN-2023-08-01_nOPV,nOPV2,Rnd1,21,2023-08-24T00:00:00Z,2023-08-28,2023-08-29,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,LAGDERA,KEN-2023-08-01_nOPV,nOPV2,Rnd2,21,2023-10-07T00:00:00Z,2023-10-11,2023-10-12,33,27,60,33,26,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
KEN,GARISSA,LAGDERA,KEN-2024-01-01_nOPV,nOPV2,Rnd1,21,2024-02-14T00:00:00Z,2024-02-18,2024-02-19,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,LAGDERA,KEN-2024-11-01_nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,LAGDERA,KEN-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-04-11T00:00:00Z,2025-04-15,2025-04-16,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,ISIOLO,GARBATULLA,KEN-13DS-02-2021,nOPV2,Rnd1,21,2021-05-22T00:00:00Z,2021-05-26,2021-05-27,31,29,60,26,25,51,9,Fail,poor,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,55.56,0,0,0,0,44.44,0,0.15
KEN,ISIOLO,GARBATULLA,KEN-13DS-02-2021,nOPV2,Rnd2,21,2021-07-17T00:00:00Z,2021-07-21,2021-07-22,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,ISIOLO,ISIOLO,KEN-13DS-02-2021,nOPV2,Rnd1,21,2021-05-22T00:00:00Z,2021-05-26,2021-05-27,29,31,60,29,28,57,3,Pass,high,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
KEN,ISIOLO,ISIOLO,KEN-13DS-02-2021,nOPV2,Rnd2,21,2021-07-17T00:00:00Z,2021-07-21,2021-07-22,30,30,60,29,28,57,3,Pass,high,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0.05
KEN,ISIOLO,MERTI,KEN-13DS-02-2021,nOPV2,Rnd1,21,2021-05-22T00:00:00Z,2021-05-26,2021-05-27,26,34,60,23,32,55,5,Fail,moderate,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,40,0.08
KEN,ISIOLO,MERTI,KEN-13DS-02-2021,nOPV2,Rnd2,19,2021-07-17T00:00:00Z,2021-07-21,2021-07-22,22,38,60,21,34,55,5,Fail,moderate,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,20,40,0,0.08
KEN,KAJIADO,KAJIADO CENTRAL,KEN-13DS-02-2021,nOPV2,Rnd1,21,2021-05-22T00:00:00Z,2021-05-26,2021-05-27,29,31,60,23,27,50,10,Fail,poor,0,5,2,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,50,20,0,0,10,20,0.17
KEN,KAJIADO,KAJIADO CENTRAL,KEN-13DS-02-2021,nOPV2,Rnd2,19,2021-07-17T00:00:00Z,2021-07-21,2021-07-22,30,30,60,29,27,56,4,Fail,moderate,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0.07
KEN,KAJIADO,KAJIADO CENTRAL,KEN-2023-08-01_nOPV,nOPV2,Rnd1,21,2023-08-24T00:00:00Z,2023-08-28,2023-08-29,31,29,60,24,21,45,15,Fail,poor,1,4,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.67,26.67,6.67,0,0,60,0,0.25
