country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,abs_reason_other,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_others,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GUI,CONAKRY,MATAM,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,CONAKRY,MATAM,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,CONAKRY,MATAM,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,21,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,CONAKRY,MATAM,bOPV,bOPV,Rnd1,21,2021-10-24T00:00:00Z,2021-10-28,2021-10-29,34,26,60,33,25,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
GUI,CONAKRY,MATOTO,CONAKRY-mOPV,mOPV,Rnd1,6,2021-02-27T00:00:00Z,2021-03-03,2021-04-03,31,29,60,13,12,25,35,Fail,very poor,0,23,6,1,0,5,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,65.71,17.14,2.86,0,14.29,0,0.58
GUI,CONAKRY,MATOTO,CONAKRY-mOPV,mOPV,Rnd2,22,2021-08-02T00:00:00Z,2021-08-06,2021-09-06,25,35,60,24,33,57,3,Pass,high,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,66.67,0,33.33,0,0,0,0,0.05
GUI,CONAKRY,MATOTO,GUI-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,20,40,60,14,31,45,15,Fail,poor,0,1,1,0,0,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,73.33,13.33,0.25
GUI,CONAKRY,MATOTO,GUI-2023-09-01_nOPV,nOPV2,Rnd2,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,32,28,60,27,24,51,9,Fail,poor,0,0,7,1,1,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,77.78,11.11,11.11,0,0,0.15
GUI,CONAKRY,MATOTO,GUI-2024-06-LIDs_nOPV,nOPV2,Rnd1,21,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,30,30,60,30,29,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GUI,CONAKRY,MATOTO,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,30,30,60,29,30,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
