country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_in_playground,abs_reason_other,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
LIB,MARGIBI,KAKATA DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,30,30,60,28,28,56,4,Fail,moderate,0,0,4,0,0,0,0,73.33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.07
LIB,MARGIBI,KAKATA DISTRICT,Liberia,nOPV2,Rnd1,21,2021-03-30T00:00:00Z,2021-04-03,2021-04-05,22,38,60,21,31,52,8,Fail,moderate,0,4,3,0,0,1,0,96.67,2,0,1,0,0,0,0,0,0,0,0,0,0,50,37.5,0,0,12.5,0,0.13
LIB,MARGIBI,KAKATA DISTRICT,Liberia,nOPV2,Rnd2,18,2021-06-02T00:00:00Z,2021-06-06,2021-06-10,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,76.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARGIBI,MAMBAH-KABA DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,17,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,22,38,60,20,32,52,8,Fail,moderate,0,0,0,0,0,8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.13
LIB,MARGIBI,MAMBAH-KABA DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,26,34,60,17,21,38,22,Fail,very poor,0,0,6,3,1,1,11,26.67,2,1,2,0,1,0,0,0,0,0,0,0,0,0,27.27,13.64,4.55,4.55,50,0.37
LIB,MARGIBI,MAMBAH-KABA DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,27,33,60,25,33,58,2,Pass,high,0,0,0,0,0,2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
LIB,MARGIBI,MAMBAH-KABA DISTRICT,Liberia,nOPV2,Rnd2,12,2021-06-01T00:00:00Z,2021-06-05,2021-06-07,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,BARROBO FARJAH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,BARROBO FARJAH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,BARROBO FARJAH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,BARROBO WHOJAH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,25,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
