country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,year,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,missed_child,r_non_compliance,r_house_not_visited,r_childabsent,r_security,r_childnotborn,care_giver_informed_sia,percent_care_giver_informed_sia,total_missed,status,performance,tot_r,other_r,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_childnotborn,prct_r_security,prct_other_r
NIE,Anambra,Onitsha South,OBR_name,bOPV,Rnd4,5,2022-04-11,2022-04-15,2022-04-16,2022,24,26,50,24,26,50,0,0,0,0,0,0,50,100,10,Fail,poor,0,10,0,0,0,0,0,100
NIE,Anambra,Onitsha South,OBR_name,bOPV,,7,2022-01-31,2022-02-04,2022-02-05,2022,36,34,70,36,34,70,0,0,0,0,0,0,70,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Anambra,Orumba North,NGA-20DS-01-2020,bOPV,,12,2020-02-24,2020-02-28,2020-02-29,2020,65,55,120,63,52,115,5,0,4,1,0,0,95,79.17,5,Fail,moderate,5,0,0,80,20,0,0,0
NIE,Anambra,Orumba North,NIE-2023-07-03_nOPV,nOPV2,Rnd4,6,2023-12-14,2023-12-18,2023-12-19,2023,27,33,60,27,33,60,0,0,0,0,0,0,35,58.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Anambra,Orumba North,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,6,2025-06-10,2025-06-14,2025-06-15,2025,21,39,60,19,38,57,3,0,0,2,0,1,49,81.67,3,Pass,high,3,0,0,0,66.67,33.33,0,0
NIE,Anambra,Orumba North,OBR_name,bOPV,Rnd11,6,2021-11-16,2021-11-20,2021-11-21,2021,30,30,60,28,30,58,2,1,0,1,0,0,36,60,2,Pass,high,2,0,50,0,50,0,0,0
NIE,Anambra,Orumba North,OBR_name,bOPV,Rnd4,6,2022-04-11,2022-04-15,2022-04-16,2022,30,30,60,27,29,56,4,0,0,3,0,1,53,88.33,4,Fail,moderate,4,0,0,0,75,25,0,0
NIE,Anambra,Orumba North,OBR_name,bOPV,Rnd5,6,2022-05-20,2022-05-24,2022-05-25,2022,34,26,60,30,24,54,6,2,2,2,0,0,58,96.67,6,Fail,moderate,6,0,33.33,33.33,33.33,0,0,0
NIE,Anambra,Orumba South,NGA-20DS-01-2020,bOPV,Rnd3,1,2020-02-26,2020-03-01,2020-03-02,2020,5,5,10,5,5,10,0,0,0,0,0,0,10,100,50,Fail,very poor,0,50,0,0,0,0,0,100
NIE,Anambra,Orumba South,NGA-20DS-01-2020,bOPV,,5,2020-02-24,2020-02-28,2020-02-29,2020,25,25,50,25,25,50,0,0,0,0,0,0,50,100,10,Fail,poor,0,10,0,0,0,0,0,100
NIE,Anambra,Orumba South,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,6,2025-04-22,2025-04-26,2025-04-27,2025,31,29,60,29,28,57,3,1,0,2,0,0,39,65,3,Pass,high,3,0,33.33,0,66.67,0,0,0
NIE,Anambra,Orumba South,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,6,2025-06-10,2025-06-14,2025-06-15,2025,33,27,60,32,27,59,1,0,1,0,0,0,48,80,1,Pass,high,1,0,0,100,0,0,0,0
NIE,Anambra,Orumba South,OBR_name,bOPV,Rnd4,6,2022-04-11,2022-04-15,2022-04-16,2022,33,27,60,32,26,58,2,0,2,0,0,0,53,88.33,2,Pass,high,2,0,0,100,0,0,0,0
NIE,Anambra,Orumba South,OBR_name,bOPV,Rnd5,6,2022-05-20,2022-05-24,2022-05-25,2022,35,25,60,35,23,58,2,0,1,1,0,0,35,58.33,2,Pass,high,2,0,0,50,50,0,0,0
NIE,Anambra,Orumba South,OBR_name,bOPV,,7,2022-02-01,2022-02-05,2022-02-06,2022,35,35,70,31,34,65,5,1,0,4,0,0,58,82.86,5,Fail,moderate,5,0,20,0,80,0,0,0
NIE,Anambra,Oyi,NGA-20DS-01-2020,bOPV,Rnd3,1,2020-02-26,2020-03-01,2020-03-02,2020,9,1,10,9,1,10,0,0,0,0,0,0,10,100,50,Fail,very poor,0,50,0,0,0,0,0,100
NIE,Anambra,Oyi,NGA-20DS-01-2020,bOPV,,5,2020-02-24,2020-02-28,2020-02-29,2020,22,28,50,22,27,49,1,0,1,0,0,0,50,100,11,Fail,poor,1,10,0,9.09,0,0,0,90.91
NIE,Anambra,Oyi,NIE-2023-07-03_nOPV,fIPV+nOPV2,Rnd3,6,2023-09-20,2023-09-24,2023-09-25,2023,27,33,60,27,33,60,0,0,0,0,0,0,50,83.33,0,Pass,high,0,0,0,0,0,0,0,0
